                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90401,                 1.1363,                 1.2174,                0.77466,                0.69398,                0.77684,                0.59054,                 1.0616,                 1.2857,                 1.3443,             0.00020401,             0.00020401,             0.00020401
                     36,                 0.8832,                  1.098,                 1.2146,                0.75303,                0.74333,                0.76826,                 0.5886,                 1.0688,                 1.2984,                 1.3575,             0.00020101,             0.00020101,             0.00020101
                     37,                0.89361,                 1.1226,                 1.2229,                0.79571,                0.71059,                0.77863,                 0.6002,                 1.0624,                  1.257,                 1.3593,             0.00019801,             0.00019801,             0.00019801
                     38,                0.89231,                 1.0831,                 1.2015,                0.77927,                0.67754,                0.75944,                0.56879,                 1.0749,                 1.3415,                 1.3619,             0.00019501,             0.00019501,             0.00019501
                     39,                0.87812,                 1.0923,                 1.1988,                0.77233,                0.71816,                0.76857,                0.58709,                 1.0461,                 1.2453,                 1.3265,             0.00019201,             0.00019201,             0.00019201
                     40,                0.88292,                 1.0653,                  1.202,                0.74082,                0.76086,                0.77923,                0.60052,                 1.0428,                 1.2268,                 1.3377,             0.00018901,             0.00018901,             0.00018901
                     41,                0.88911,                  1.068,                 1.2099,                0.74268,                0.75692,                0.78575,                0.60753,                 1.0218,                 1.2425,                 1.3124,             0.00018601,             0.00018601,             0.00018601
                     42,                0.87294,                 1.0562,                  1.201,                0.74361,                0.74112,                0.78325,                0.59851,                 1.0673,                 1.2559,                 1.3496,             0.00018301,             0.00018301,             0.00018301
                     43,                0.87662,                 1.0562,                 1.2019,                 0.7494,                0.74248,                0.78003,                0.60125,                 1.0661,                 1.2555,                 1.3445,             0.00018001,             0.00018001,             0.00018001
                     44,                0.86427,                  1.037,                 1.1928,                0.75404,                0.72221,                0.77069,                0.58836,                 1.0574,                 1.3051,                 1.3413,             0.00017701,             0.00017701,             0.00017701
                     45,                0.86745,                 1.0453,                 1.1852,                0.74629,                0.75927,                0.77819,                 0.5966,                 1.0552,                 1.2778,                 1.3296,             0.00017401,             0.00017401,             0.00017401
                     46,                0.87181,                 1.0355,                 1.1981,                0.80377,                 0.7299,                0.79564,                0.61081,                  1.053,                 1.1866,                 1.3308,             0.00017101,             0.00017101,             0.00017101
                     47,                0.85234,                   1.01,                 1.1769,                0.74453,                0.76971,                 0.7836,                0.60652,                 1.0286,                 1.2249,                 1.3131,             0.00016801,             0.00016801,             0.00016801
                     48,                0.83929,                0.99222,                 1.1775,                0.80302,                0.75735,                 0.8013,                0.62227,                  1.043,                 1.1856,                 1.3303,             0.00016501,             0.00016501,             0.00016501
                     49,                0.86894,                 0.9913,                 1.1856,                 0.7611,                0.74264,                0.77347,                0.58446,                 1.0841,                 1.2949,                  1.376,             0.00016201,             0.00016201,             0.00016201
                     50,                0.84016,                0.98277,                 1.1798,                0.75421,                0.77484,                0.79478,                0.60653,                 1.0773,                 1.2077,                 1.3411,             0.00015901,             0.00015901,             0.00015901
                     51,                0.85523,                 0.9624,                 1.1719,                0.75589,                0.75803,                0.78934,                 0.6142,                 1.0596,                 1.2071,                 1.3276,             0.00015601,             0.00015601,             0.00015601
                     52,                 0.8295,                0.94875,                 1.1643,                0.78149,                0.74955,                0.78168,                 0.6076,                 1.0504,                 1.2261,                 1.3224,             0.00015301,             0.00015301,             0.00015301
                     53,                0.83448,                0.96193,                 1.1673,                0.77731,                0.74373,                0.78942,                0.60777,                   1.05,                 1.1994,                 1.3232,             0.00015002,             0.00015002,             0.00015002
                     54,                0.84069,                0.95446,                 1.1693,                0.76477,                0.74962,                0.79097,                0.60949,                 1.0662,                 1.1947,                  1.336,             0.00014702,             0.00014702,             0.00014702
                     55,                0.83495,                0.92577,                 1.1698,                0.77861,                 0.7399,                0.79279,                0.61355,                 1.0618,                 1.1634,                 1.3343,             0.00014402,             0.00014402,             0.00014402
                     56,                0.84131,                0.94743,                 1.1705,                0.78441,                0.74098,                 0.7983,                0.61836,                 1.0355,                 1.2254,                 1.3124,             0.00014102,             0.00014102,             0.00014102
                     57,                0.83335,                0.91718,                 1.1627,                0.77821,                0.76327,                0.78958,                0.60964,                 1.0397,                 1.2046,                 1.3233,             0.00013802,             0.00013802,             0.00013802
                     58,                0.82278,                0.91552,                 1.1576,                0.77579,                 0.7587,                0.79876,                0.61775,                  1.051,                 1.1932,                  1.318,             0.00013502,             0.00013502,             0.00013502
                     59,                0.82354,                0.89332,                 1.1517,                0.75683,                0.77607,                0.79524,                 0.6205,                 1.0441,                 1.1624,                 1.3093,             0.00013202,             0.00013202,             0.00013202
                     60,                0.81989,                0.90115,                 1.1587,                0.80018,                0.70934,                0.78592,                0.59931,                  1.076,                 1.1861,                 1.3433,             0.00012902,             0.00012902,             0.00012902
                     61,                0.80452,                0.88205,                 1.1509,                0.76698,                0.78339,                0.79847,                0.61137,                 1.0575,                 1.1574,                 1.3214,             0.00012602,             0.00012602,             0.00012602
                     62,                0.80636,                0.87201,                 1.1477,                0.77498,                0.73832,                0.78451,                0.60582,                 1.0625,                 1.2317,                 1.3255,             0.00012302,             0.00012302,             0.00012302
                     63,                0.81712,                 0.9183,                 1.1599,                0.71505,                0.79773,                0.77641,                0.60206,                 1.0469,                 1.2343,                 1.3241,             0.00012002,             0.00012002,             0.00012002
                     64,                0.80815,                0.86795,                 1.1475,                0.81474,                0.74281,                0.80508,                0.62834,                 1.0332,                 1.1404,                  1.309,             0.00011702,             0.00011702,             0.00011702
                     65,                0.80477,                0.84288,                 1.1477,                0.78899,                0.75685,                0.80833,                0.63208,                 1.0405,                 1.1492,                 1.3187,             0.00011402,             0.00011402,             0.00011402
                     66,                0.81041,                0.88224,                 1.1524,                0.79086,                0.73276,                 0.7997,                0.62055,                 1.0396,                 1.1918,                 1.3206,             0.00011102,             0.00011102,             0.00011102
                     67,                 0.7963,                0.86067,                 1.1466,                0.76312,                0.79939,                0.80837,                0.62842,                 1.0426,                 1.1349,                 1.3216,             0.00010802,             0.00010802,             0.00010802
                     68,                0.79554,                 0.8439,                 1.1411,                0.76806,                0.76662,                0.81974,                0.63073,                 1.0331,                 1.1096,                 1.3151,             0.00010502,             0.00010502,             0.00010502
                     69,                0.81108,                0.85694,                 1.1494,                 0.8001,                0.77675,                0.81135,                0.62259,                 1.0461,                   1.14,                 1.3258,             0.00010202,             0.00010202,             0.00010202
